2804:8a34::/32,BR,BR-SP,Sao Paulo,
45.172.192.0/22,BR,BR-SP,Sao Paulo,
2804:7e90::/32,BR,BR-SP,Sao Paulo,
2804:8e68::/32,BR,BR-MG,Divinopolis,
